customer_id,segment_name,explanation
1545,Potential Loyalists,"Assigned due to: high income, large order size, infrequent purchase frequency."
1314,Potential Loyalists,"Assigned due to: low income, low spending level, low net spend."
307,Potential Loyalists,"Assigned due to: small order size, frequent purchase frequency, low lifetime value."
1667,Potential Loyalists,"Assigned due to: weak loyalty, high income, high return rate."
863,Potential Loyalists,"Assigned due to: high lifetime value, frequent purchase frequency, weak loyalty."
1567,Potential Loyalists,"Assigned due to: high income, frequent purchase frequency, high lifetime value."
531,Potential Loyalists,"Assigned due to: high return rate, low income, high spending level."
655,Potential Loyalists,"Assigned due to: large order size, strong loyalty, high return rate."
1260,Potential Loyalists,"Assigned due to: high lifetime value, frequent purchase frequency, low net spend."
234,Potential Loyalists,"Assigned due to: large order size, high return rate, high spending level."
121,Potential Loyalists,"Assigned due to: high income, high return rate, high lifetime value."
1698,Champions,"Assigned due to: high lifetime value, large order size, high income."
950,Potential Loyalists,"Assigned due to: low spending level, low net spend, low income."
618,Potential Loyalists,"Assigned due to: high net spend, small order size, low return rate."
1179,Potential Loyalists,"Assigned due to: high return rate, infrequent purchase frequency, low lifetime value."
308,Potential Loyalists,"Assigned due to: high net spend, high lifetime value, low return rate."
136,Potential Loyalists,"Assigned due to: low return rate, strong loyalty, small order size."
555,Potential Loyalists,"Assigned due to: high income, frequent purchase frequency, high net spend."
1674,Potential Loyalists,"Assigned due to: high spending level, low income, frequent purchase frequency."
584,Potential Loyalists,"Assigned due to: small order size, infrequent purchase frequency, low lifetime value."
1641,Potential Loyalists,"Assigned due to: low income, small order size, infrequent purchase frequency."
671,Potential Loyalists,"Assigned due to: infrequent purchase frequency, low lifetime value, low spending level."
835,Potential Loyalists,"Assigned due to: high return rate, high spending level, high lifetime value."
110,Potential Loyalists,"Assigned due to: low return rate, high net spend, low income."
1165,Potential Loyalists,"Assigned due to: large order size, high income, weak loyalty."
1960,Potential Loyalists,"Assigned due to: infrequent purchase frequency, low lifetime value, low spending level."
1465,Potential Loyalists,"Assigned due to: infrequent purchase frequency, high income, low lifetime value."
1729,Potential Loyalists,"Assigned due to: high return rate, weak loyalty, low net spend."
1243,Potential Loyalists,"Assigned due to: high return rate, low income, large order size."
212,Potential Loyalists,"Assigned due to: strong loyalty, frequent purchase frequency, high spending level."
1768,Potential Loyalists,"Assigned due to: low return rate, frequent purchase frequency, high income."
1121,Potential Loyalists,"Assigned due to: low lifetime value, small order size, infrequent purchase frequency."
680,Potential Loyalists,"Assigned due to: high lifetime value, large order size, strong loyalty."
1951,Potential Loyalists,"Assigned due to: weak loyalty, low net spend, low spending level."
1839,Potential Loyalists,"Assigned due to: large order size, low spending level, low net spend."
412,Potential Loyalists,"Assigned due to: infrequent purchase frequency, low spending level, low return rate."
1325,Potential Loyalists,"Assigned due to: small order size, low spending level, low net spend."
783,Loyal Customers,"Assigned due to: high return rate, frequent purchase frequency, low net spend."
1346,Potential Loyalists,"Assigned due to: low income, strong loyalty, frequent purchase frequency."
875,Potential Loyalists,"Assigned due to: low return rate, frequent purchase frequency, weak loyalty."
1653,Potential Loyalists,"Assigned due to: small order size, high spending level, weak loyalty."
1279,Potential Loyalists,"Assigned due to: high spending level, large order size, high net spend."
786,Potential Loyalists,"Assigned due to: high income, low spending level, low net spend."
1819,Potential Loyalists,"Assigned due to: large order size, high lifetime value, low net spend."
1199,Potential Loyalists,"Assigned due to: high income, small order size, low lifetime value."
808,Potential Loyalists,"Assigned due to: strong loyalty, low return rate, low spending level."
713,Potential Loyalists,"Assigned due to: high return rate, infrequent purchase frequency, low net spend."
1991,Potential Loyalists,"Assigned due to: low spending level, low net spend, high lifetime value."
1660,Potential Loyalists,Assigned due to: weak loyalty.
1191,Potential Loyalists,"Assigned due to: high lifetime value, frequent purchase frequency, low net spend."
1226,Potential Loyalists,"Assigned due to: high spending level, high return rate, small order size."
603,Potential Loyalists,"Assigned due to: infrequent purchase frequency, large order size, low net spend."
271,Potential Loyalists,"Assigned due to: infrequent purchase frequency, small order size, low lifetime value."
1385,Potential Loyalists,"Assigned due to: weak loyalty, infrequent purchase frequency, large order size."
232,Potential Loyalists,"Assigned due to: high net spend, high spending level, high income."
50,Potential Loyalists,"Assigned due to: large order size, high income, low net spend."
463,Potential Loyalists,"Assigned due to: high return rate, strong loyalty, frequent purchase frequency."
1106,Potential Loyalists,"Assigned due to: large order size, infrequent purchase frequency, high return rate."
856,Potential Loyalists,"Assigned due to: large order size, high lifetime value, high income."
694,Potential Loyalists,"Assigned due to: infrequent purchase frequency, large order size, high income."
1552,Potential Loyalists,"Assigned due to: infrequent purchase frequency, strong loyalty, large order size."
1873,Potential Loyalists,"Assigned due to: strong loyalty, infrequent purchase frequency, low lifetime value."
527,Potential Loyalists,"Assigned due to: small order size, frequent purchase frequency, high income."
174,Potential Loyalists,"Assigned due to: high spending level, high net spend, strong loyalty."
721,Potential Loyalists,"Assigned due to: small order size, high net spend, strong loyalty."
415,Potential Loyalists,"Assigned due to: strong loyalty, high net spend, high spending level."
238,Potential Loyalists,"Assigned due to: frequent purchase frequency, high lifetime value, low income."
1473,Potential Loyalists,"Assigned due to: high net spend, high spending level, low return rate."
1336,Potential Loyalists,"Assigned due to: infrequent purchase frequency, low lifetime value, low spending level."
1064,Potential Loyalists,"Assigned due to: strong loyalty, high net spend, high spending level."
24,Potential Loyalists,"Assigned due to: low return rate, high net spend, high spending level."
1767,Potential Loyalists,"Assigned due to: low income, low spending level, low net spend."
64,Potential Loyalists,"Assigned due to: high net spend, low return rate, infrequent purchase frequency."
290,Potential Loyalists,"Assigned due to: low spending level, low net spend, strong loyalty."
189,Potential Loyalists,"Assigned due to: high return rate, strong loyalty, high income."
702,Potential Loyalists,"Assigned due to: high net spend, high spending level, large order size."
1815,Potential Loyalists,"Assigned due to: large order size, low spending level, low net spend."
1138,Potential Loyalists,"Assigned due to: low spending level, low net spend, frequent purchase frequency."
355,Potential Loyalists,"Assigned due to: strong loyalty, high lifetime value, frequent purchase frequency."
417,Potential Loyalists,"Assigned due to: high spending level, high net spend, strong loyalty."
1246,Loyal Customers,"Assigned due to: frequent purchase frequency, low return rate, low spending level."
931,Potential Loyalists,"Assigned due to: high return rate, small order size, frequent purchase frequency."
197,Potential Loyalists,"Assigned due to: high income, strong loyalty, low return rate."
580,Potential Loyalists,"Assigned due to: low return rate, high net spend, high spending level."
1135,Potential Loyalists,"Assigned due to: low return rate, low spending level, low net spend."
1814,Potential Loyalists,"Assigned due to: small order size, low lifetime value."
1935,Potential Loyalists,"Assigned due to: high income, low spending level, low net spend."
434,Potential Loyalists,"Assigned due to: high net spend, high spending level, infrequent purchase frequency."
101,Potential Loyalists,"Assigned due to: high return rate, frequent purchase frequency, small order size."
1655,Potential Loyalists,"Assigned due to: low return rate, strong loyalty, high lifetime value."
395,Potential Loyalists,"Assigned due to: small order size, low spending level, low net spend."
1939,Potential Loyalists,"Assigned due to: high lifetime value, large order size, high income."
221,Potential Loyalists,"Assigned due to: low income, high lifetime value, frequent purchase frequency."
1676,Potential Loyalists,"Assigned due to: high net spend, low return rate, frequent purchase frequency."
1498,Potential Loyalists,"Assigned due to: low income, large order size, high lifetime value."
1785,Potential Loyalists,"Assigned due to: low income, weak loyalty, high net spend."
345,Potential Loyalists,"Assigned due to: weak loyalty, high income, infrequent purchase frequency."
1028,Potential Loyalists,"Assigned due to: low return rate, high lifetime value, high net spend."
889,Potential Loyalists,"Assigned due to: low income, small order size, low lifetime value."
1351,Potential Loyalists,Profile is close to the average customer.
553,Potential Loyalists,"Assigned due to: low return rate, infrequent purchase frequency, high income."
744,Potential Loyalists,"Assigned due to: high spending level, high return rate, high net spend."
1542,Potential Loyalists,"Assigned due to: high income, large order size, strong loyalty."
539,Potential Loyalists,"Assigned due to: high spending level, weak loyalty, high net spend."
907,Potential Loyalists,"Assigned due to: frequent purchase frequency, high lifetime value, high income."
1395,Potential Loyalists,"Assigned due to: infrequent purchase frequency, high return rate, low lifetime value."
116,Potential Loyalists,"Assigned due to: weak loyalty, high return rate, low net spend."
830,Potential Loyalists,"Assigned due to: high spending level, small order size, strong loyalty."
1938,Potential Loyalists,"Assigned due to: high return rate, low net spend, low spending level."
809,Potential Loyalists,"Assigned due to: weak loyalty, low spending level, low net spend."
1311,Potential Loyalists,"Assigned due to: frequent purchase frequency, high return rate, small order size."
1005,Potential Loyalists,"Assigned due to: strong loyalty, low return rate, large order size."
306,Potential Loyalists,"Assigned due to: frequent purchase frequency, high net spend, weak loyalty."
1101,Potential Loyalists,"Assigned due to: high return rate, strong loyalty, infrequent purchase frequency."
480,Potential Loyalists,"Assigned due to: high lifetime value, large order size, low spending level."
1424,Potential Loyalists,"Assigned due to: low income, high spending level, high net spend."
1076,Potential Loyalists,"Assigned due to: low return rate, high net spend, strong loyalty."
571,Potential Loyalists,"Assigned due to: low income, frequent purchase frequency, high return rate."
619,Potential Loyalists,"Assigned due to: frequent purchase frequency, high lifetime value, strong loyalty."
1898,Potential Loyalists,"Assigned due to: high net spend, low return rate, weak loyalty."
1266,Potential Loyalists,"Assigned due to: high spending level, high income, high return rate."
79,Potential Loyalists,"Assigned due to: strong loyalty, high lifetime value, high net spend."
1912,Potential Loyalists,"Assigned due to: strong loyalty, low net spend, low spending level."
33,Potential Loyalists,"Assigned due to: strong loyalty, frequent purchase frequency, high net spend."
1538,Potential Loyalists,"Assigned due to: infrequent purchase frequency, strong loyalty, high return rate."
1034,Potential Loyalists,"Assigned due to: high income, low net spend, frequent purchase frequency."
1563,Potential Loyalists,"Assigned due to: high income, large order size, infrequent purchase frequency."
352,Potential Loyalists,"Assigned due to: small order size, high return rate, strong loyalty."
164,Potential Loyalists,"Assigned due to: small order size, low spending level, low lifetime value."
204,Potential Loyalists,"Assigned due to: low return rate, large order size, strong loyalty."
1054,Potential Loyalists,"Assigned due to: infrequent purchase frequency, low return rate, weak loyalty."
1365,Potential Loyalists,"Assigned due to: weak loyalty, infrequent purchase frequency, low lifetime value."
1967,Potential Loyalists,"Assigned due to: large order size, high lifetime value, low income."
496,Potential Loyalists,"Assigned due to: large order size, weak loyalty, infrequent purchase frequency."
1625,Potential Loyalists,"Assigned due to: high lifetime value, large order size, high return rate."
1966,Potential Loyalists,"Assigned due to: weak loyalty, low spending level."
1963,Potential Loyalists,"Assigned due to: low spending level, low net spend, frequent purchase frequency."
611,Potential Loyalists,"Assigned due to: high return rate, high spending level, high income."
433,Potential Loyalists,"Assigned due to: high lifetime value, high return rate, frequent purchase frequency."
1492,Potential Loyalists,"Assigned due to: low income, small order size, low spending level."
219,Potential Loyalists,"Assigned due to: small order size, high return rate, low income."
1931,Potential Loyalists,"Assigned due to: low income, high return rate, high spending level."
1466,Potential Loyalists,"Assigned due to: large order size, high income, infrequent purchase frequency."
631,Potential Loyalists,"Assigned due to: low spending level, strong loyalty, low net spend."
1382,Potential Loyalists,"Assigned due to: high lifetime value, frequent purchase frequency, high return rate."
1302,Potential Loyalists,"Assigned due to: low return rate, large order size, infrequent purchase frequency."
60,Potential Loyalists,"Assigned due to: low income, high return rate, high lifetime value."
299,Potential Loyalists,"Assigned due to: small order size, high return rate, low lifetime value."
1711,Potential Loyalists,"Assigned due to: high net spend, high spending level, low return rate."
74,Potential Loyalists,"Assigned due to: large order size, low spending level, low net spend."
163,Potential Loyalists,"Assigned due to: high return rate, low net spend, frequent purchase frequency."
1275,Potential Loyalists,"Assigned due to: low return rate, small order size, high net spend."
1594,Potential Loyalists,"Assigned due to: high return rate, infrequent purchase frequency, low income."
1434,Potential Loyalists,"Assigned due to: weak loyalty, high return rate, small order size."
1613,Potential Loyalists,"Assigned due to: high spending level, high net spend, high lifetime value."
592,Potential Loyalists,"Assigned due to: low income, small order size, weak loyalty."
317,Potential Loyalists,"Assigned due to: low income, high net spend, strong loyalty."
46,Potential Loyalists,"Assigned due to: high income, weak loyalty, large order size."
1720,Potential Loyalists,"Assigned due to: strong loyalty, high return rate, small order size."
1832,Potential Loyalists,"Assigned due to: high return rate, large order size, strong loyalty."
428,Potential Loyalists,"Assigned due to: strong loyalty, large order size, infrequent purchase frequency."
582,Potential Loyalists,"Assigned due to: high income, small order size, low return rate."
77,Potential Loyalists,"Assigned due to: low return rate, frequent purchase frequency, high income."
1917,Potential Loyalists,"Assigned due to: high net spend, infrequent purchase frequency, strong loyalty."
1415,Potential Loyalists,"Assigned due to: low spending level, low net spend, weak loyalty."
781,Potential Loyalists,"Assigned due to: weak loyalty, high return rate, small order size."
1920,Potential Loyalists,"Assigned due to: high lifetime value, frequent purchase frequency, low net spend."
1174,Potential Loyalists,"Assigned due to: high net spend, high spending level, weak loyalty."
1320,Potential Loyalists,"Assigned due to: strong loyalty, small order size, low lifetime value."
938,Potential Loyalists,"Assigned due to: high net spend, low return rate, low income."
31,Potential Loyalists,"Assigned due to: low return rate, small order size, low income."
1092,Potential Loyalists,"Assigned due to: high lifetime value, frequent purchase frequency, high net spend."
1616,Potential Loyalists,"Assigned due to: high income, high return rate, weak loyalty."
1230,Potential Loyalists,"Assigned due to: high return rate, low net spend, low spending level."
975,Potential Loyalists,"Assigned due to: infrequent purchase frequency, low return rate, low lifetime value."
1085,Potential Loyalists,"Assigned due to: high return rate, low net spend, low spending level."
515,Potential Loyalists,"Assigned due to: strong loyalty, high income, low spending level."
1551,Potential Loyalists,"Assigned due to: small order size, low income, infrequent purchase frequency."
1568,Potential Loyalists,"Assigned due to: high spending level, high income, weak loyalty."
1811,Potential Loyalists,"Assigned due to: strong loyalty, infrequent purchase frequency, small order size."
1574,Potential Loyalists,"Assigned due to: weak loyalty, infrequent purchase frequency, low lifetime value."
45,Potential Loyalists,"Assigned due to: high spending level, infrequent purchase frequency, high net spend."
1687,Potential Loyalists,"Assigned due to: frequent purchase frequency, strong loyalty, low return rate."
169,Potential Loyalists,"Assigned due to: small order size, frequent purchase frequency, high income."
304,Potential Loyalists,"Assigned due to: strong loyalty, frequent purchase frequency, low net spend."
991,Potential Loyalists,"Assigned due to: frequent purchase frequency, high return rate, high income."
556,Potential Loyalists,"Assigned due to: infrequent purchase frequency, large order size, low spending level."
1925,Potential Loyalists,"Assigned due to: low lifetime value, small order size, infrequent purchase frequency."
608,Potential Loyalists,"Assigned due to: strong loyalty, high spending level, high net spend."
1619,Potential Loyalists,"Assigned due to: high return rate, low net spend, low spending level."
758,Potential Loyalists,"Assigned due to: high net spend, frequent purchase frequency, low return rate."
439,Champions,"Assigned due to: high lifetime value, frequent purchase frequency, strong loyalty."
583,Potential Loyalists,"Assigned due to: infrequent purchase frequency, small order size, high spending level."
1519,Potential Loyalists,"Assigned due to: strong loyalty, low spending level, low return rate."
528,Potential Loyalists,"Assigned due to: strong loyalty, infrequent purchase frequency, low lifetime value."
343,Potential Loyalists,"Assigned due to: high return rate, small order size, frequent purchase frequency."
1737,Potential Loyalists,"Assigned due to: low return rate, low spending level, low net spend."
368,Potential Loyalists,"Assigned due to: high net spend, high spending level, high lifetime value."
186,Potential Loyalists,"Assigned due to: high lifetime value, frequent purchase frequency, high return rate."
1117,Potential Loyalists,"Assigned due to: high lifetime value, frequent purchase frequency, strong loyalty."
1755,Potential Loyalists,"Assigned due to: small order size, low lifetime value, infrequent purchase frequency."
1426,Potential Loyalists,"Assigned due to: high lifetime value, strong loyalty, frequent purchase frequency."
301,Potential Loyalists,"Assigned due to: large order size, high lifetime value, low spending level."
1904,Potential Loyalists,"Assigned due to: frequent purchase frequency, strong loyalty, low income."
833,Potential Loyalists,"Assigned due to: high net spend, high spending level, weak loyalty."
544,Potential Loyalists,"Assigned due to: weak loyalty, infrequent purchase frequency."
1601,Potential Loyalists,"Assigned due to: high income, high return rate, frequent purchase frequency."
351,Potential Loyalists,"Assigned due to: strong loyalty, high spending level, high return rate."
1933,Potential Loyalists,"Assigned due to: high return rate, weak loyalty, large order size."
1511,Potential Loyalists,"Assigned due to: frequent purchase frequency, high return rate, weak loyalty."
979,Potential Loyalists,"Assigned due to: low spending level, low net spend, high return rate."
176,Potential Loyalists,"Assigned due to: small order size, low income, strong loyalty."
483,Potential Loyalists,"Assigned due to: low income, low return rate, infrequent purchase frequency."
1413,Potential Loyalists,"Assigned due to: high return rate, high spending level, strong loyalty."
1611,Potential Loyalists,"Assigned due to: strong loyalty, low return rate, small order size."
124,Potential Loyalists,"Assigned due to: small order size, strong loyalty, low income."
600,Potential Loyalists,"Assigned due to: frequent purchase frequency, high spending level, high net spend."
1795,Potential Loyalists,"Assigned due to: strong loyalty, high return rate, infrequent purchase frequency."
1746,Potential Loyalists,"Assigned due to: high return rate, small order size, low lifetime value."
1379,Potential Loyalists,"Assigned due to: high lifetime value, frequent purchase frequency, large order size."
1186,Champions,"Assigned due to: high return rate, high lifetime value, large order size."
486,Potential Loyalists,"Assigned due to: infrequent purchase frequency, weak loyalty, low lifetime value."
332,Potential Loyalists,"Assigned due to: low income, strong loyalty, small order size."
789,Potential Loyalists,"Assigned due to: low income, low spending level, low net spend."
195,Potential Loyalists,"Assigned due to: low spending level, low net spend, high lifetime value."
638,Potential Loyalists,"Assigned due to: strong loyalty, low return rate, infrequent purchase frequency."
472,Potential Loyalists,"Assigned due to: high return rate, small order size, low lifetime value."
1714,Potential Loyalists,"Assigned due to: high lifetime value, large order size, high net spend."
323,Potential Loyalists,"Assigned due to: high lifetime value, large order size, high return rate."
